volume_name,episode_id,session,level_int,角色,思绪残影,所属印象,角色初级,角色中级,角色高级,印象I,印象II,印象III,max_idx,min_idx,episode_template
海.森篇,1,,1,,,,,,,,,,16,,
海.森篇,1,,2,,,,,,,,,,16,,
海.森篇,1,,3,,,,,,,,,,16,,
海.森篇,1,,4,左然,锋芒褪尽,,1,,,,,,16,,
海.森篇,1,,5,,,,,,,,,,16,,
海.森篇,1,,6,,,,,,,,,,16,,
海.森篇,1,,7,,,,,,,,,,16,,
海.森篇,1,,8,夏彦,彼时少年,,1,,,,,,16,,
海.森篇,1,,9,,,,,,,,,,16,,
海.森篇,1,,10,,,,,,,,,,16,,
海.森篇,1,,11,,,,,,,,,,16,,
海.森篇,1,,12,左然,锋芒褪尽,,1,,,,,,16,,
海.森篇,1,,13,,,,,,,,,,16,,
海.森篇,1,,14,,,,,,,,,,16,,
海.森篇,1,,15,,,,,,,,,,16,,
海.森篇,1,,16,夏彦,彼时少年,,1,,,,,,16,,
海.森篇,2,,1,,,,,,,,,,16,,
海.森篇,2,,2,,,,,,,,,,16,,
海.森篇,2,,3,,,,,,,,,,16,,
海.森篇,2,,4,莫弈,初光倾泻,,1,,,,,,16,,
海.森篇,2,,5,,,,,,,,,,16,,
海.森篇,2,,6,,,,,,,,,,16,,
海.森篇,2,,7,,,,,,,,,,16,,
海.森篇,2,,8,陆景和,心头撞鹿,,1,,,,,,16,,
海.森篇,2,,9,,,,,,,,,,16,,
海.森篇,2,,10,,,,,,,,,,16,,
海.森篇,2,,11,,,,,,,,,,16,,
海.森篇,2,,12,莫弈,初光倾泻,,1,,,,,,16,,
海.森篇,2,,13,,,,,,,,,,16,,
海.森篇,2,,14,,,,,,,,,,16,,
海.森篇,2,,15,,,,,,,,,,16,,
海.森篇,2,,16,陆景和,心头撞鹿,,1,,,,,,16,,
海.森篇,3,,1,,,,,,,,,,14,,
海.森篇,3,,2,,,,,,,,,,14,,
海.森篇,3,,3,,,,,,,,,,14,,
海.森篇,3,,4,左然,长夜微明,,1,,,,,,14,,
海.森篇,3,,5,,,逻辑,,,,1,1,,14,,
海.森篇,3,,6,,,共情,,,,1,1,,14,,
海.森篇,3,,7,,,直觉,,,,1,1,,14,,
海.森篇,3,,8,左然,锋芒褪尽,,1,,,,,,14,,
海.森篇,3,,9,陆景和,,,1,,,,,,14,,
海.森篇,3,,10,夏彦,,,1,,,,,,14,,
海.森篇,3,,11,夏彦,彼时少年,,1,,,,,,14,,
海.森篇,3,,12,左然,,,1,,,,,,14,,
海.森篇,3,,13,莫弈,,,1,,,,,,14,,
海.森篇,3,,14,左然,长夜微明,,1,,,,,,14,,
海.森篇,4,,1,,,,,,,,,,14,,
海.森篇,4,,2,,,,,,,,,,14,,
海.森篇,4,,3,,,,,,,,,,14,,
海.森篇,4,,4,陆景和,坠入心扉,,1,,,,,,14,,
海.森篇,4,,5,,,逻辑,,,,1,1,,14,,
海.森篇,4,,6,,,共情,,,,1,1,,14,,
海.森篇,4,,7,,,直觉,,,,1,1,,14,,
海.森篇,4,,8,陆景和,心头撞鹿,,1,,,,,,14,,
海.森篇,4,,9,夏彦,,,,1,,,,,14,,
海.森篇,4,,10,左然,,,,1,,,,,14,,
海.森篇,4,,11,莫弈,初光倾泻,,1,,,,,,14,,
海.森篇,4,,12,陆景和,,,,1,,,,,14,,
海.森篇,4,,13,莫弈,,,,1,,,,,14,,
海.森篇,4,,14,陆景和,坠入心扉,,1,,,,,,14,,
海.森篇,5,1,1,,,,,,,,,,,,
海.森篇,5,1,2,,,,,,,,,,,,
海.森篇,5,1,3,,,,,,,,,,,,
海.森篇,5,1,4,夏彦,彼时少年,,1,1,,,,,,,Debate/E5P1.png
海.森篇,5,1,5,,,逻辑,,,,1,1,,,,
海.森篇,5,1,6,,,共情,,,,1,1,,,,
海.森篇,5,1,7,,,直觉,,,,1,1,,,,
海.森篇,5,1,8,夏彦,与子偕行,,1,1,,,,,,,Debate/E5P1.png
海.森篇,5,1,9,陆景和,,,,1,,,,,,,
海.森篇,5,1,10,莫弈,,,,1,,,,,,,
海.森篇,5,1,11,左然,,,,1,,,,,,,
海.森篇,5,1,12,夏彦,与子偕行,,,1,,,,,,,Debate/E5P1.png
海.森篇,5,2,13,,,逻辑,,,,1,1,,,,
海.森篇,5,2,14,,,共情,,,,1,1,,,,
海.森篇,5,2,15,,,直觉,,,,1,1,,,,
海.森篇,5,2,16,陆景和,坠入心扉,,,1,,,,,,,Debate/E5P2.png
海.森篇,5,2,17,莫弈,,,,1,,,,,,,
海.森篇,5,2,18,左然,,,,1,,,,,,,
海.森篇,5,2,19,莫弈,,,,1,,,,,,,
海.森篇,5,2,20,左然,长夜微明,,,1,,,,,,,Debate/E5P2.png
海.森篇,5,2,21,夏彦,,,,1,,,,,,,
海.森篇,5,2,22,莫弈,,,,1,,,,,,,
海.森篇,5,2,23,陆景和,,,,1,,,,,,,
海.森篇,5,2,24,夏彦,与子偕行,,,1,,,,,,,Debate/E5P2.png
海.森篇,5,3,25,,,逻辑,,,,1,1,,,,
海.森篇,5,3,26,,,共情,,,,1,1,,,,
海.森篇,5,3,27,,,直觉,,,,1,1,,,,
海.森篇,5,3,28,莫弈,入局,,,1,,,,,,,Debate/E5P3.png
海.森篇,5,3,29,陆景和,,,,1,,,,,,,
海.森篇,5,3,30,左然,,,,1,,,,,,,
海.森篇,5,3,31,夏彦,,,,1,,,,,,,
海.森篇,5,3,32,莫弈,入局,,,1,,,,,,,Debate/E5P3.png
海.森篇,5,3,33,陆景和,,,,1,,,,,,,
海.森篇,5,3,34,左然,,,,1,,,,,,,
海.森篇,5,3,35,夏彦,,,,1,,,,,,,
海.森篇,5,3,36,莫弈,入局,,,1,,,,,,,Debate/E5P3.png
海.森篇,6,1,1,,,逻辑,,,,,1,,,,
海.森篇,6,1,2,,,共情,,,,,1,,,,
海.森篇,6,1,3,,,直觉,,,,,1,,,,
海.森篇,6,1,4,左然,锋芒褪尽,,,1,,,,,,,Debate/E6P1.png
海.森篇,6,1,5,,,逻辑,,,,,1,1,,,Debate/E6P1.png
海.森篇,6,1,6,,,共情,,,,,1,1,,,Debate/E6P1.png
海.森篇,6,1,7,,,直觉,,,,,1,1,,,Debate/E6P1.png
海.森篇,6,1,8,莫弈,初光倾泻,,,1,,,,,,,Debate/E6P1.png
海.森篇,6,1,9,陆景和,,,,1,,,,,,,Debate/E6P1.png
海.森篇,6,1,10,左然,,,,1,,,,,,,Debate/E6P1.png
海.森篇,6,1,11,夏彦,,,,1,,,,,,,Debate/E6P1.png
海.森篇,6,1,12,陆景和,心头撞鹿,,,1,,,,,,,Debate/E6P1.png
海.森篇,6,2,13,,,逻辑,,,,,1,,,,
海.森篇,6,2,14,,,共情,,,,,1,,,,
海.森篇,6,2,15,,,直觉,,,,,1,,,,
海.森篇,6,2,16,左然,抉择,,,1,,,,,,,Debate/E6P2.png
海.森篇,6,2,17,,,逻辑,,,,,1,1,,,
海.森篇,6,2,18,,,共情,,,,,1,1,,,
海.森篇,6,2,19,,,直觉,,,,,1,1,,,
海.森篇,6,2,20,左然,抉择,,,1,,,,,,,Debate/E6P2.png
海.森篇,6,2,21,夏彦,,,,1,,,,,,,
海.森篇,6,2,22,莫弈,,,,1,,,,,,,Debate/E6P2.png
海.森篇,6,2,23,陆景和,,,,1,,,,,,,
海.森篇,6,2,24,左然,抉择,,,1,,,,,,,Debate/E6P2.png
海.森篇,7,1,1,,,逻辑,,,,,1,1,,,
海.森篇,7,1,2,,,共情,,,,,1,1,,,
海.森篇,7,1,3,,,直觉,,,,,1,1,,,
海.森篇,7,1,4,夏彦,与子偕行,,,1,,,,,,,Debate/E7P1.png
海.森篇,7,1,5,,,逻辑,,,,,,1,,,
海.森篇,7,1,6,,,共情,,,,,,1,,,
海.森篇,7,1,7,,,直觉,,,,,,1,,,
海.森篇,7,1,8,左然,长夜微明,,,1,,,,,,,Debate/E7P1.png
海.森篇,7,1,9,夏彦,,,,,1,,,,,,Debate/E7P1.png
海.森篇,7,1,10,左然,,,,,1,,,,,,Debate/E7P1.png
海.森篇,7,1,11,陆景和,,,,,1,,,,,,Debate/E7P1.png
海.森篇,7,1,12,陆景和,坠入心扉,,,1,,,,,,,Debate/E7P1.png
海.森篇,7,2,13,,,逻辑,,,,,1,1,,,
海.森篇,7,2,14,,,共情,,,,,1,1,,,
海.森篇,7,2,15,,,直觉,,,,,1,1,,,
海.森篇,7,2,16,陆景和,静默之下,,,1,,,,,,,Debate/E7P2.png
海.森篇,7,2,17,,,逻辑,,,,,,1,,,
海.森篇,7,2,18,,,共情,,,,,,1,,,
海.森篇,7,2,19,,,直觉,,,,,,1,,,
海.森篇,7,2,20,陆景和,静默之下,,,1,,,,,,,Debate/E7P2.png
海.森篇,7,2,21,夏彦,,,,,1,,,,,,
海.森篇,7,2,22,左然,,,,,1,,,,,,
海.森篇,7,2,23,莫弈,,,,,1,,,,,,Debate/E7P2.png
海.森篇,7,2,24,陆景和,静默之下,,,1,,,,,,,Debate/E7P2.png
海.森篇,8,,1,,,逻辑,,,,,1,1,,,
海.森篇,8,,2,,,共情,,,,,1,1,,,
海.森篇,8,,3,,,直觉,,,,,1,1,,,
海.森篇,8,,4,莫弈,繁嚣一梦,,,1,,,,,,,
海.森篇,8,,5,,,逻辑,,,,,1,1,,,
海.森篇,8,,6,,,共情,,,,,1,1,,,
海.森篇,8,,7,,,直觉,,,,,1,1,,,
海.森篇,8,,8,莫弈,繁嚣一梦,,,1,1,,,,,,
海.森篇,8,,9,夏彦,,,,,1,,,,,,
海.森篇,8,,10,左然,,,,,1,,,,,,
海.森篇,8,,11,陆景和,,,,,1,,,,,,
海.森篇,8,,12,莫弈,繁嚣一梦,,,1,1,,,,,,
剑兰谷篇,9,,1,,,逻辑,,,,,1,1,,,
剑兰谷篇,9,,2,,,共情,,,,,1,1,,,
剑兰谷篇,9,,3,,,直觉,,,,,1,1,,,
剑兰谷篇,9,,4,夏彦,刻心,,,1,,,,,,,
剑兰谷篇,9,,5,,,逻辑,,,,,1,1,,,
剑兰谷篇,9,,6,,,共情,,,,,1,1,,,
剑兰谷篇,9,,7,,,直觉,,,,,1,1,,,
剑兰谷篇,9,,8,夏彦,刻心,,,1,1,,,,,,
剑兰谷篇,9,,9,左然,,,,,1,,,,,,
剑兰谷篇,9,,10,莫弈,,,,,1,,,,,,
剑兰谷篇,9,,11,陆景和,,,,,1,,,,,,
剑兰谷篇,9,,12,夏彦,刻心,,,1,1,,,,,,
剑兰谷篇,10,,1,,,逻辑,,,,,,1,,,
剑兰谷篇,10,,2,,,共情,,,,,,1,,,
剑兰谷篇,10,,3,,,直觉,,,,,,1,,,
剑兰谷篇,10,,4,左然,此间,,,1,,,,,,,
剑兰谷篇,10,,5,,,逻辑,,,,,,1,,,
剑兰谷篇,10,,6,,,共情,,,,,,1,,,
剑兰谷篇,10,,7,,,直觉,,,,,,1,,,
剑兰谷篇,10,,8,左然,此间,,,1,1,,,,,,
剑兰谷篇,10,,9,夏彦,,,,,1,,,,,,
剑兰谷篇,10,,10,莫弈,,,,,1,,,,,,
剑兰谷篇,10,,11,陆景和,,,,,1,,,,,,
剑兰谷篇,10,,12,左然,此间,,,1,1,,,,,,
剑兰谷篇,11,1,1,,,逻辑,,,,,,1,,,
剑兰谷篇,11,1,2,,,共情,,,,,,1,,,
剑兰谷篇,11,1,3,,,直觉,,,,,,1,,,
剑兰谷篇,11,1,4,莫弈,入局,,,1,1,,,,,,Debate/E11P1.png
剑兰谷篇,11,1,5,夏彦,,,,,1,,,,,,
剑兰谷篇,11,1,6,左然,,,,1,1,,,,,,
剑兰谷篇,11,1,7,莫弈,,,,1,1,,,,,,
剑兰谷篇,11,1,8,左然,抉择,,,1,1,,,,,,Debate/E11P1.png
剑兰谷篇,11,1,9,夏彦,,,,1,1,,,,,,
剑兰谷篇,11,1,10,夏彦,,,,1,1,,,,,,
剑兰谷篇,11,1,11,陆景和,,,,1,1,,,,,,
剑兰谷篇,11,1,12,陆景和,静默之下,,,1,1,,,,,,Debate/E11P1.png
剑兰谷篇,11,2,13,,,逻辑,,,,,,1,,,
剑兰谷篇,11,2,14,,,共情,,,,,,1,,,
剑兰谷篇,11,2,15,,,直觉,,,,,,1,,,
剑兰谷篇,11,2,16,莫弈,思欲,,,1,,,,,,,Debate/E11P2.png
剑兰谷篇,11,2,17,,,逻辑,,,,,,1,,,
剑兰谷篇,11,2,18,,,共情,,,,,,1,,,
剑兰谷篇,11,2,19,,,直觉,,,,,,1,,,
剑兰谷篇,11,2,20,莫弈,思欲,,,1,1,,,,,,Debate/E11P2.png
剑兰谷篇,11,2,21,夏彦,,,,,1,,,,,,
剑兰谷篇,11,2,22,左然,,,,,1,,,,,,
剑兰谷篇,11,2,23,陆景和,,,,,1,,,,,,
剑兰谷篇,11,2,24,莫弈,思欲,,,1,1,,,,,,Debate/E11P2.png
剑兰谷篇,12,,1,,,逻辑,,,,,,1,,,
剑兰谷篇,12,,2,,,共情,,,,,,1,,,
剑兰谷篇,12,,3,,,直觉,,,,,,1,,,
剑兰谷篇,12,,4,陆景和,情染,,,1,,,,,,,
剑兰谷篇,12,,5,,,逻辑,,,,,,1,,,
剑兰谷篇,12,,6,,,共情,,,,,,1,,,
剑兰谷篇,12,,7,,,直觉,,,,,,1,,,
剑兰谷篇,12,,8,陆景和,情染,,,1,,,,,,,
剑兰谷篇,12,,9,夏彦,,,,,1,,,,,,
剑兰谷篇,12,,10,左然,,,,,1,,,,,,
剑兰谷篇,12,,11,莫弈,,,,,1,,,,,,
剑兰谷篇,12,,12,陆景和,情染,,,1,1,,,,,,
剑兰谷篇,13,,1,,,逻辑,,,,,,1,,,
剑兰谷篇,13,,2,,,共情,,,,,,1,,,
剑兰谷篇,13,,3,,,直觉,,,,,,1,,,
剑兰谷篇,13,,4,夏彦,灼光,,,1,,,,,,,
剑兰谷篇,13,,5,,,逻辑,,,,,,1,,,
剑兰谷篇,13,,6,,,共情,,,,,,1,,,
剑兰谷篇,13,,7,,,直觉,,,,,,1,,,
剑兰谷篇,13,,8,夏彦,灼光,,,1,1,,,,,,
剑兰谷篇,13,,9,左然,,,,,1,,,,,,
剑兰谷篇,13,,10,莫弈,,,,,1,,,,,,
剑兰谷篇,13,,11,陆景和,,,,,1,,,,,,
剑兰谷篇,13,,12,夏彦,灼光,,,1,1,,,,,,
剑兰谷篇,14,1,1,,,逻辑,,,,,,1,,,
剑兰谷篇,14,1,2,,,共情,,,,,,1,,,
剑兰谷篇,14,1,3,,,直觉,,,,,,1,,,
剑兰谷篇,14,1,4,莫弈,繁嚣一梦,,,1,1,,,,,,Debate/E14P1.png
剑兰谷篇,14,1,5,左然,,,,1,1,,,,,,
剑兰谷篇,14,1,6,莫弈,,,,1,1,,,,,,
剑兰谷篇,14,1,7,陆景和,,,,1,1,,,,,,
剑兰谷篇,14,1,8,夏彦,刻心,,,1,,,,,,,Debate/E14P1.png
剑兰谷篇,14,1,9,陆景和,,,,1,1,,,,,,
剑兰谷篇,14,1,10,莫弈,,,,,1,,,,,,
剑兰谷篇,14,1,11,夏彦,,,,1,,,,,,,
剑兰谷篇,14,1,12,左然,此间,,,1,1,,,,,,Debate/E14P1.png
剑兰谷篇,14,2,13,,,逻辑,,,,,,1,,,
剑兰谷篇,14,2,14,,,共情,,,,,,1,,,
剑兰谷篇,14,2,15,,,直觉,,,,,,1,,,
剑兰谷篇,14,2,16,左然,铭忘,,,1,,,,,,,Debate/E14P2.png
剑兰谷篇,14,2,17,,,逻辑,,,,,,1,,,
剑兰谷篇,14,2,18,,,共情,,,,,,1,,,
剑兰谷篇,14,2,19,,,直觉,,,,,,1,,,
剑兰谷篇,14,2,20,左然,铭忘,,,1,1,,,,,,Debate/E14P2.png
剑兰谷篇,14,2,21,莫弈,,,,,1,,,,,,
剑兰谷篇,14,2,22,陆景和,,,,,1,,,,,,
剑兰谷篇,14,2,23,夏彦,,,,,1,,,,,,
剑兰谷篇,14,2,24,左然,铭忘,,,1,1,,,,,,Debate/E14P2.png
剑兰谷篇,15,,1,,,逻辑,,,,,,1,,,
剑兰谷篇,15,,2,,,共情,,,,,,1,,,
剑兰谷篇,15,,3,,,直觉,,,,,,1,,,
剑兰谷篇,15,,4,莫弈,思欲,,,,1,,,,,,
剑兰谷篇,15,,5,夏彦,,,,1,1,,,,,,
剑兰谷篇,15,,6,左然,,,,1,1,,,,,,
剑兰谷篇,15,,7,莫弈,,,,1,1,,,,,,
剑兰谷篇,15,,8,陆景和,情染,,,,1,,,,,,
剑兰谷篇,15,,9,左然,,,,,1,,,,,,
剑兰谷篇,15,,10,莫弈,,,,,1,,,,,,
剑兰谷篇,15,,11,陆景和,,,,1,1,,,,,,
剑兰谷篇,15,,12,夏彦,灼光,,,,1,,,,,,
亚宁篇,16,,1,,,逻辑,,,,,,1,,,
亚宁篇,16,,2,,,共情,,,,,,1,,,
亚宁篇,16,,3,,,直觉,,,,,,1,,,
亚宁篇,16,,4,陆景和,斡旋,,,1,,,,,,,
亚宁篇,16,,5,,,逻辑,,,,,,1,,,
亚宁篇,16,,6,,,共情,,,,,,1,,,
亚宁篇,16,,7,,,直觉,,,,,,1,,,
亚宁篇,16,,8,陆景和,斡旋,,,1,1,,,,,,
亚宁篇,16,,9,夏彦,,,,,1,,,,,,
亚宁篇,16,,10,左然,,,,,1,,,,,,
亚宁篇,16,,11,莫弈,,,,,1,,,,,,
亚宁篇,16,,12,陆景和,斡旋,,,1,1,,,,,,
亚宁篇,17,1,1,,,逻辑,,,,,,1,,,
亚宁篇,17,1,2,,,共情,,,,,,1,,,
亚宁篇,17,1,3,,,直觉,,,,,,1,,,
亚宁篇,17,1,4,左然,锋芒褪尽,,,,1,,,,,,Debate/E17P1.png
亚宁篇,17,1,5,莫弈,,,1,1,,,,,,,
亚宁篇,17,1,6,陆景和,,,,1,1,,,,,,
亚宁篇,17,1,7,夏彦,,,,1,1,,,,,,
亚宁篇,17,1,8,夏彦,彼时少年,,,,1,,,,,,Debate/E17P1.png
亚宁篇,17,1,9,左然,,,,1,1,,,,,,
亚宁篇,17,1,10,莫弈,,,1,1,,,,,,,
亚宁篇,17,1,11,陆景和,,,,1,1,,,,,,
亚宁篇,17,1,12,莫弈,初光倾泻,,,,1,,,,,,Debate/E17P1.png
亚宁篇,17,2,13,,,逻辑,,,,,1,1,,,
亚宁篇,17,2,14,,,共情,,,,,1,1,,,
亚宁篇,17,2,15,,,直觉,,,,,1,1,,,
亚宁篇,17,2,16,莫弈,彷徨,,,1,,,,,,,Debate/E17P2.png
亚宁篇,17,2,17,,,逻辑,,,,,1,1,,,
亚宁篇,17,2,18,,,共情,,,,,1,1,,,
亚宁篇,17,2,19,,,直觉,,,,,1,1,,,
亚宁篇,17,2,20,莫弈,彷徨,,,1,1,,,,,,Debate/E17P2.png
亚宁篇,17,2,21,陆景和,,,,,1,,,,,,
亚宁篇,17,2,22,夏彦,,,,,1,,,,,,
亚宁篇,17,2,23,左然,,,,,1,,,,,,
亚宁篇,17,2,24,莫弈,彷徨,,,1,1,,,,,,Debate/E17P2.png
亚宁篇,18,1,1,,,逻辑,,,,,1,1,,,
亚宁篇,18,1,2,,,共情,,,,,1,1,,,
亚宁篇,18,1,3,,,直觉,,,,,1,1,,,
亚宁篇,18,1,4,陆景和,心头撞鹿,,,,1,,,,,,Debate/E18P1.png
亚宁篇,18,1,5,左然,,,,1,1,,,,,,
亚宁篇,18,1,6,莫弈,,,,1,1,,,,,,
亚宁篇,18,1,7,夏彦,,,,1,1,,,,,,
亚宁篇,18,1,8,左然,长夜微明,,,,1,,,,,,Debate/E18P1.png
亚宁篇,18,1,9,陆景和,,,,1,1,,,,,,
亚宁篇,18,1,10,夏彦,,,1,1,,,,,,,
亚宁篇,18,1,11,莫弈,,,,1,1,,,,,,
亚宁篇,18,1,12,夏彦,与子偕行,,,,1,,,,,,Debate/E18P1.png
亚宁篇,18,2,13,,,逻辑,,,,,1,1,,,
亚宁篇,18,2,14,,,共情,,,,,1,1,,,
亚宁篇,18,2,15,,,直觉,,,,,1,1,,,
亚宁篇,18,2,16,夏彦,心玥,,,1,,,,,,,Debate/E18P2.png
亚宁篇,18,2,17,,,逻辑,,,,,1,1,,,
亚宁篇,18,2,18,,,共情,,,,,1,1,,,
亚宁篇,18,2,19,,,直觉,,,,,1,1,,,
亚宁篇,18,2,20,夏彦,心玥,,,1,1,,,,,,Debate/E18P2.png
亚宁篇,18,2,21,陆景和,,,,,1,,,,,,
亚宁篇,18,2,22,莫弈,,,,,1,,,,,,
亚宁篇,18,2,23,左然,,,,,1,,,,,,
亚宁篇,18,2,24,夏彦,心玥,,,1,1,,,,,,Debate/E18P2.png
亚宁篇,19,1,1,,,逻辑,,,,,1,1,8,,
亚宁篇,19,1,2,,,共情,,,,,1,1,8,,
亚宁篇,19,1,3,,,直觉,,,,,1,1,8,,
亚宁篇,19,1,4,左然,破茧,,,1,,,,,8,,
亚宁篇,19,1,5,陆景和,,,,1,1,,,,8,,
亚宁篇,19,1,6,夏彦,,,,1,1,,,,8,,
亚宁篇,19,1,7,莫弈,,,1,1,,,,,8,,
亚宁篇,19,1,8,左然,破茧,,,1,1,,,,8,,
亚宁篇,19,2,9,,,逻辑,,,,,1,1,16,9,
亚宁篇,19,2,10,,,共情,,,,,1,1,16,9,
亚宁篇,19,2,11,,,直觉,,,,,1,1,16,9,
亚宁篇,19,2,12,左然,破茧,,,1,,,,,16,9,
亚宁篇,19,2,13,陆景和,,,,,1,,,,16,9,
亚宁篇,19,2,14,夏彦,,,,,1,,,,16,9,
亚宁篇,19,2,15,莫弈,,,,,1,,,,16,9,
亚宁篇,19,2,16,左然,破茧,,,1,1,,,,16,9,
亚宁篇,20,1,1,,,逻辑,,,,,1,1,8,,
亚宁篇,20,1,2,,,共情,,,,,1,1,8,,
亚宁篇,20,1,3,,,直觉,,,,,1,1,8,,
亚宁篇,20,1,4,陆景和,片言,,,1,,,,,8,,
亚宁篇,20,1,5,左然,,,,1,1,,,,8,,
亚宁篇,20,1,6,莫弈,,,1,1,,,,,8,,
亚宁篇,20,1,7,夏彦,,,,1,1,,,,8,,
亚宁篇,20,1,8,陆景和,片言,,,1,1,,,,8,,
亚宁篇,20,2,9,,,逻辑,,,,,1,1,16,9,
亚宁篇,20,2,10,,,共情,,,,,1,1,16,9,
亚宁篇,20,2,11,,,直觉,,,,,1,1,16,9,
亚宁篇,20,2,12,陆景和,片言,,,1,,,,,16,9,
亚宁篇,20,2,13,左然,,,,,1,,,,16,9,
亚宁篇,20,2,14,莫弈,,,,,1,,,,16,9,
亚宁篇,20,2,15,夏彦,,,,,1,,,,16,9,
亚宁篇,20,2,16,陆景和,片言,,,1,1,,,,16,9,
